Id,MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,LotShape,LandSlope,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,Alley,MoSold,YrSold,SaleType,SaleCondition,Exterior1st,Exterior2nd,Utilities,SalePrice
1,120,RL,68.0,9149.0,NAmes,IR1,Mod,9,5,1927,1966,,0.0,Ex,Fa,Ex,TA,No,GLQ,451,5,402,Gd,Y,SBrkr,881,600,4547,1,0,1,0,1,Gd,7,Min1,0,TA,Attchd,1980.0,RFn,0,837,TA,TA,Y,305,152,147,0,106,500,,,,,4,2007,WD,Normal,VinylSd,VinylSd,AllPub,353609.0
2,70,RL,54.0,6320.0,Somerst,IR1,Sev,7,6,1905,1994,,0.0,Gd,Gd,TA,Gd,No,ALQ,699,476,72,Gd,Y,SBrkr,893,600,2258,1,0,2,0,4,Gd,5,Min1,0,Gd,Detchd,1980.0,Unf,1,688,TA,,Y,63,180,71,0,0,0,,MnPrv,,,3,2006,WD,Partial,HdBoard,VinylSd,AllPub,204168.0
3,70,RL,53.0,9717.0,NAmes,IR1,Sev,9,3,1960,1951,Stone,100.0,Ex,TA,Ex,TA,No,Unf,971,470,1899,Gd,Y,SBrkr,1140,1200,4168,0,1,1,0,1,TA,5,Min1,0,,Attchd,2005.0,RFn,0,394,TA,TA,Y,52,3,128,0,43,500,,MnPrv,,,4,2010,WD,Normal,VinylSd,HdBoard,AllPub,347760.0
4,60,RL,79.0,7115.0,Somerst,IR2,Gtl,5,3,1949,2010,BrkFace,0.0,Fa,Fa,Gd,TA,,ALQ,881,580,1525,Ex,Y,SBrkr,713,1200,3642,1,1,2,1,3,Gd,10,Typ,1,,Attchd,1995.0,Unf,3,796,TA,,Y,68,43,129,0,56,0,,MnPrv,,,3,2006,WD,Normal,HdBoard,HdBoard,AllPub,300269.0
5,60,RL,49.0,10105.0,NAmes,IR2,Mod,8,3,1932,1976,BrkFace,100.0,Fa,Gd,Gd,TA,No,GLQ,122,838,799,Ex,N,SBrkr,1464,0,3436,0,1,3,0,2,Gd,8,Typ,0,,Attchd,2005.0,Fin,1,500,TA,TA,Y,78,52,179,0,149,0,,,,,12,2008,WD,Normal,VinylSd,HdBoard,AllPub,254444.0
6,20,RL,83.0,8122.0,NAmes,IR1,Mod,4,8,1938,1970,,,Gd,Gd,,Gd,Gd,ALQ,1006,227,773,Gd,Y,SBrkr,863,0,3314,0,0,2,1,3,TA,7,Typ,2,Gd,Detchd,1995.0,RFn,2,820,TA,TA,Y,5,51,148,0,101,0,,,,,6,2009,WD,Normal,Wd Sdng,VinylSd,AllPub,227828.0
7,20,FV,40.0,10089.0,CollgCr,IR2,Gtl,10,3,1957,1977,BrkFace,0.0,Gd,Fa,Gd,TA,Gd,ALQ,816,617,1160,Gd,Y,SBrkr,1194,1200,639,1,0,3,1,4,TA,7,Min1,2,TA,Attchd,1995.0,RFn,1,575,TA,TA,P,86,197,117,0,42,500,,,,,4,2008,WD,Normal,Wd Sdng,VinylSd,AllPub,196818.0
8,20,RL,59.0,5308.0,Somerst,Reg,Gtl,8,7,1978,1981,,0.0,Fa,Fa,TA,Gd,No,ALQ,357,337,1860,Ex,N,SBrkr,908,600,4430,1,0,3,1,2,Gd,8,Typ,2,Gd,,1980.0,,3,731,TA,TA,Y,31,289,84,0,117,0,,,,,10,2007,WD,Normal,Wd Sdng,HdBoard,AllPub,331823.0
9,20,RL,71.0,7852.0,OldTown,Reg,Sev,10,8,1941,1953,Stone,0.0,Gd,Gd,Gd,Gd,No,ALQ,1199,701,878,TA,Y,SBrkr,774,600,3221,0,1,3,0,3,TA,8,Typ,2,TA,Attchd,1980.0,Unf,2,219,TA,TA,Y,180,261,29,0,36,0,,MnPrv,,,1,2008,WD,Normal,VinylSd,Wd Sdng,AllPub,322618.0
10,120,RM,45.0,8565.0,Somerst,Reg,Mod,10,7,1944,1988,Stone,200.0,TA,Gd,Gd,TA,No,,516,326,159,Ex,N,SBrkr,2174,900,1232,1,1,3,1,5,TA,11,Mod,1,Gd,,1980.0,RFn,1,117,TA,TA,Y,291,0,70,0,68,0,,,,,5,2006,WD,Partial,HdBoard,VinylSd,AllPub,206974.0
11,70,RL,83.0,5840.0,NAmes,IR1,Gtl,5,6,1928,1970,BrkFace,100.0,Fa,TA,TA,TA,Av,ALQ,290,586,1995,Gd,Y,SBrkr,853,1200,2296,1,0,3,1,5,Gd,6,Mod,2,TA,Attchd,1995.0,Unf,0,716,TA,TA,P,58,137,112,0,129,500,,,,,5,2010,WD,Normal,HdBoard,HdBoard,AllPub,190746.0
12,120,RL,70.0,15752.0,Somerst,IR1,Gtl,9,4,1953,1950,BrkFace,,Gd,Fa,TA,TA,No,,737,975,1848,TA,Y,SBrkr,1625,900,1837,0,0,1,0,5,Ex,7,Min1,2,,,1995.0,Unf,3,833,TA,TA,Y,375,97,101,0,23,500,,,,,2,2007,WD,Normal,VinylSd,Wd Sdng,AllPub,290192.0
13,70,RL,49.0,7614.0,OldTown,IR2,Mod,5,5,1958,1988,,100.0,Gd,TA,Gd,Gd,No,GLQ,31,327,324,TA,Y,SBrkr,1655,900,771,1,0,3,0,4,Gd,7,Min1,0,TA,Attchd,1980.0,Unf,0,430,TA,TA,Y,124,12,69,0,98,0,,,,,10,2010,WD,Normal,Wd Sdng,VinylSd,AllPub,108289.0
14,70,RM,40.0,13589.0,OldTown,IR2,Gtl,4,4,1914,1982,Stone,0.0,Ex,TA,Ex,TA,No,Unf,437,2,64,TA,Y,SBrkr,531,900,3817,1,1,3,0,3,TA,8,Mod,2,TA,Attchd,2005.0,RFn,0,22,TA,TA,Y,268,95,73,0,148,500,,,,,5,2009,WD,Normal,HdBoard,Wd Sdng,AllPub,230005.0
